well_id,plate,row,column,flow_says_diploid,flow_haploid_count,flow_diploid_count,flow_ambiguous_count,flow_singlets_count,flow_all_events_count,flow_haploid_percent,flow_diploid_percent,flow_ambiguous_percent
WGS1F9,1,F,9,False,1377.0,3.0,2200.0,3580.0,5000.0,38.46368715083799,0.08379888268156424,61.452513966480446
WGS1F10,1,F,10,False,1364.0,1.0,2211.0,3576.0,5000.0,38.14317673378076,0.02796420581655481,61.828859060402685
WGS1G1,1,G,1,False,1569.0,1.0,2192.0,3762.0,5000.0,41.706539074960126,0.026581605528973953,58.2668793195109
WGS1G2,1,G,2,False,1629.0,0.0,1799.0,3428.0,5000.0,47.52042007001167,0.0,52.47957992998833
WGS1G3,1,G,3,True,0.0,887.0,2184.0,3071.0,5000.0,0.0,28.883099967437314,71.11690003256268
WGS1G4,1,G,4,True,1.0,711.0,2206.0,2918.0,5000.0,0.034270047978067174,24.366004112405758,75.59972583961617
WGS1G5,1,G,5,True,5.0,549.0,2046.0,2600.0,5000.0,0.19230769230769232,21.115384615384617,78.6923076923077
WGS1G6,1,G,6,True,0.0,756.0,2030.0,2786.0,5000.0,0.0,27.1356783919598,72.8643216080402
WGS1G7,1,G,7,True,9.0,731.0,2257.0,2997.0,5000.0,0.3003003003003003,24.391057724391057,75.30864197530865
WGS1G8,1,G,8,False,1635.0,4.0,1845.0,3484.0,5000.0,46.92881745120551,0.1148105625717566,52.95637198622273
WGS1G9,1,G,9,False,1326.0,2.0,2284.0,3612.0,5000.0,36.7109634551495,0.05537098560354374,63.23366555924695
WGS1G10,1,G,10,True,1.0,691.0,2211.0,2903.0,5000.0,0.03444712366517396,23.802962452635203,76.16259042369961
WGS1H1,1,H,1,True,92.0,467.0,2172.0,2731.0,5000.0,3.36872940314903,17.099963383376053,79.53130721347492
WGS1H3,1,H,3,True,0.0,431.0,2004.0,2435.0,5000.0,0.0,17.700205338809035,82.29979466119096
WGS1H4,1,H,4,True,5.0,508.0,2200.0,2713.0,5000.0,0.18429782528566163,18.72465904902322,81.09104312569112
WGS1H6,1,H,6,False,1211.0,2.0,1714.0,2927.0,5000.0,41.37341988384011,0.0683293474547318,58.55825076870516
WGS1H7,1,H,7,False,1243.0,3.0,1837.0,3083.0,5000.0,40.31787220240026,0.09730781706130393,59.58481998053844
